dep,score,fp,fn
10,0.010055478502080445,5676,0
11,0.05810616929698709,1312,0
12,0.02288488210818308,1408,0
13,0.0,4274,0
14,0.005547850208044383,714,0
15,0.018030513176144243,703,0
16,0.016643550624133148,709,0
17,0.0045571626708936,5013,0
18,0.004545454545454545,3053,0
19,0.047156726768377254,1349,0
21,0.07212205270457697,652,0
22,0.004160887656033287,715,0
23,0.11511789181692095,634,0
24,0.006934812760055479,715,0
25,0.06102635228848821,673,0
26,0.013195004029008865,9775,0
27,0.005547850208044383,713,0
28,0.005547850208044383,714,0
29,0.018873994638069706,9129,0
30,0.00272,6232,0
31,0.013869625520110958,702,0
32,0.03294367693942614,1803,0
33,0.0077323211022072265,7042,0
34,0.0027739251040221915,719,0
35,0.0,719,0
36,0.020804438280166437,1410,0
37,0.00825159582749494,6366,0
38,0.025099351600083666,13912,0
39,0.022191400832177532,697,0
40,0.006015037593984963,661,0
41,0.0030425963488843813,8832,0
42,0.04396064475612309,4510,0
43,0.04160887656033287,686,0
44,0.004160887656033287,1433,0
45,0.00679788961038961,9748,0
46,0.036754507628294034,1389,0
47,0.014042995839112345,5654,0
49,0.00701508242721852,5637,0
50,0.00706547338671691,8404,0
51,0.005547850208044383,2849,0
52,0.024965325936199722,698,0
53,0.006934812760055479,712,0
54,0.016643550624133148,2799,0
55,0.018030513176144243,699,0
56,0.006934812760055479,714,0
57,0.0100967007963595,6868,0
58,0.014147018030513176,3529,0
59,0.005686546463245492,7126,0
60,0.019417475728155338,703,0
61,0.0034674063800277394,1430,0
62,0.003708040593286495,5080,0
63,0.016643550624133148,690,0
64,0.011095700416088766,1417,0
65,0.026352288488210817,2087,0
66,0.011095700416088766,712,0
67,0.013869625520110958,701,0
68,0.020977808599167824,5566,0
69,0.023854069223573433,4128,0
70,0.013869625520110958,699,0
71,0.024271844660194174,1392,0
72,0.006934812760055479,715,0
74,0.008321775312066574,710,0
75,0.021253286590709904,4451,0
76,0.00573260785075787,10197,0
77,0.0074549237170596395,5697,0
78,0.007750540735400144,5473,0
79,0.0027739251040221915,719,0
80,0.0021609940572663426,1836,0
81,0.016643550624133148,705,0
82,0.018778601862079847,6200,0
83,0.0023726016092428305,9671,0
84,0.0063043752364140716,7874,0
85,0.006934812760055479,716,0
86,0.011541235874008175,8218,0
87,0.14008321775312066,616,0
88,0.023578363384188627,697,0
89,0.008761543926118873,4153,0
90,0.024965325936199722,699,0
91,0.00785945446139621,4267,0
92,0.0077951002227171495,2653,0
93,0.0076282940360610264,1430,0
94,0.013869625520110958,711,0
95,0.012482662968099861,709,0
