station_1,station_2,distance
AD_13_0,AD_13_4,4.107489467857442
AD_13_1,AD_13_4,4.4398464006576965
AD_13_2,AD_13_5,2.7134402421502264
AD_29_5,AD_29_11,3.096285091486694
AD_29_11,AD_29_12,3.8375356051152214
AD_38_1,AD_38_3,3.6854793807546926
AD_38_2,AD_38_7,3.8500767545241072
AD_38_2,AD_38_11,2.5155687095592616
AD_38_2,AD_38_16,4.281218621364977
AD_38_6,AD_38_9,4.546614724483041
AD_38_7,AD_38_11,2.530886023469326
AD_38_7,AD_38_12,4.713970509041889
AD_38_7,AD_38_19,3.720859822121225
AD_38_9,AD_38_12,3.4150292443271577
AD_38_11,AD_38_16,3.5186499897564487
AD_38_11,AD_38_19,3.0745228160822937
AD_38_12,AD_38_19,3.3891330899427445
AD_38_16,AD_38_19,4.640939627264537
AD_42_0,AD_42_5,0.0
AD_42_2,AD_42_7,2.1026913926401463
AD_45_6,AD_45_7,3.9907660552402566
AD_50_5,AD_50_10,3.988715841199104
AD_75_0,AD_75_5,2.604017978787334
AD_75_0,AD_92_0,4.396600342542988
AD_75_1,AD_75_3,2.881952481756185
AD_75_1,AD_75_4,2.2676841991088166
AD_75_1,AD_75_5,4.022886798438242
AD_75_2,AD_75_3,3.632613021025827
AD_75_3,AD_75_4,4.780902456054573
AD_75_3,AD_75_5,3.471065323258385
AD_75_4,AD_75_5,4.205416146785525
AD_75_4,AD_75_6,3.090358989272477
AD_75_4,AD_92_2,3.5967626114360973
AD_75_5,AD_92_0,4.687821237553166
AD_75_6,AD_92_0,3.125171476354053
AD_75_6,AD_92_2,2.9600445546151235
AD_75_6,AD_92_3,4.177303480510148
AD_78_0,AD_78_6,4.357049583022213
AD_78_2,AD_78_4,0.03856160574739395
AD_78_3,AD_78_7,2.3492268841562876
AD_78_5,AD_78_6,3.660559219829161
AD_78_5,AD_78_7,3.934608038745773
AD_78_5,AD_91_2,3.4973498062175232
AD_78_6,AD_91_2,4.392799862101853
AD_83_3,AD_83_8,4.790548372619709
AD_83_3,AD_83_12,0.982500919509474
AD_83_4,AD_83_11,4.546825554814091
AD_83_8,AD_83_12,3.857349299453301
AD_89_0,AD_89_6,0.0
AD_91_2,AD_91_5,4.877740223245693
AD_91_4,AD_91_5,3.047905380678067
AD_92_0,AD_92_3,4.6538319200056835
