Station name,Threshold,type,obs_idx,sim_idx,Ratio within tolerance,Time difference,X diff,Y diff,Radar quality (0->100),Longitude,Latitude,Date (j/m/a hh:mm),Simulated gamma dose rate (nSv/h),Observed gamma dose rate (nSv/h),Peak type,Peak subtype,Validation,Code,Rain mean for last 1h,CloudBaseHeight,CloudTopHeight,Cloud type,Snow,Snow cover,BCS/(BCS+ICS) of Bi-214,Total wet deposit of Bi-214 (Bq/m2),Kz,Exhalation (Bq/m2/s),Sea coverage,Terrain std,Altitude,Nature,Obstacle,Position,Metropole,Select peak
AUDUN-LE-ROMAN_54_AGG_CP,10,OS,79,78,0.7915734091450383,-1,0,0,85.0,5.892823219299316,49.371150970458984,04/06/2025 07:00,12.295772212900236,15.53333155314128,observed,simulated,True,No data,0.52952176,1500.0,8800.0,0.007000000216066837,-999.0,-999.0,0.1921121739548803,859.9101149241129,0.9093494216601054,0.010381605941802263,0.0,31.42569213812,362,brique et herbe,False,Sur un toit Sur un mat,True,True
AUDUN-LE-ROMAN_54_AGG_CP,10,OS,339,338,1.1520993270799031,-1,0,0,85.0,5.892823219299316,49.371150970458984,15/06/2025 03:00,36.44474409758569,31.633335113525405,observed,simulated,True,No data,2.3054588,1750.0,8800.0,0.007000000216066837,-999.0,-999.0,0.27514086745140637,2793.5536136158926,3.5365408460299173,0.006893527926877141,0.0,31.42569213812,362,brique et herbe,False,Sur un toit Sur un mat,True,True
AUDUN-LE-ROMAN_54_AGG_CP,10,OS,602,602,0.9262833538155404,0,0,0,83.0,5.892823219299316,49.371150970458984,26/06/2025 02:00,19.220378413842276,20.74999872843425,observed,simulated,True,No data,2.6504767,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.11916482969534367,1380.2973639742718,6.126810938119888,0.01680679526180029,0.0,31.42569213812,362,brique et herbe,False,Sur un toit Sur un mat,True,True
AUDUN-LE-ROMAN_54_AGG_CP,10,FN,123,122,0.20957861540520376,-1,0,0,85.0,5.892823219299316,49.371150970458984,06/06/2025 03:00,4.058838811923926,19.36666488647461,observed,not simulated,True,No data,0.43936485,100.0,5250.10693359375,0.010999999940395355,-999.0,-999.0,0.1369711175824873,492.4364598592123,2.0596632162729898,0.004631571238860488,0.0,31.42569213812,362,brique et herbe,False,Sur un toit Sur un mat,True,True
AUDUN-LE-ROMAN_54_AGG_CP,10,SO,2,1,1.7074349998385547,-1,0,0,85.0,5.892823219299316,49.371150970458984,01/06/2025 02:00,13.2326212487488,7.75,simulated,observed,True,No data,0.24909462,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.2209934020660519,1672.7031021118164,1.1355135142803192,0.007990990299731493,0.0,31.42569213812,362,brique et herbe,False,Sur un toit Sur un mat,True,True
CHATILLON-SUR-LOIRE_45_AGG_CP,10,OS,315,315,0.8463685292683787,0,0,0,87.0,2.759568929672241,47.58613967895508,14/06/2025 03:00,11.176295826309524,13.204999287923172,observed,simulated,True,No data,0.16258238,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.08782897087671059,372.7679805755615,2.0911787723501525,0.0343971811234951,0.0,16.32801013468,173,brique,False,Sur un mat,True,True
CHATILLON-SUR-LOIRE_45_AGG_CP,10,OS,349,350,0.5955417384276812,1,0,0,88.0,2.759568929672241,47.58613967895508,15/06/2025 13:00,13.34410394682184,22.406664530436203,observed,simulated,True,No data,1.7442604,375.0,4876.66259765625,0.010999999940395355,-999.0,-999.0,0.07820575787486896,823.505777756373,2.7215714305639267,0.021336056292057037,0.0,16.32801013468,173,brique,False,Sur un mat,True,True
CHATILLON-SUR-LOIRE_45_AGG_CP,10,OS,597,598,1.1743407147890588,1,0,0,88.0,2.759568929672241,47.58613967895508,25/06/2025 21:00,26.47355459850509,22.54333368937175,observed,simulated,True,No data,3.8816075,2500.0,8800.0,0.007000000216066837,-999.0,-999.0,0.09660329080585685,713.3473899450426,12.193497021993002,0.03632143698632717,0.0,16.32801013468,173,brique,False,Sur un mat,True,True
CHATILLON-SUR-LOIRE_45_AGG_CP,10,FN,585,585,0.3377622737020617,0,0,0,88.0,2.759568929672241,47.58613967895508,25/06/2025 09:00,8.964210623796376,26.539999643961593,observed,not simulated,True,No data,1.1075629,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.23301636508872461,212.18337217966717,0.8985967437426249,0.0357731394469738,0.0,16.32801013468,173,brique,False,Sur un mat,True,True
CHEVREUSE_78_AGG_CP,10,OS,311,311,1.2042522995847083,0,0,0,72.0,2.033780097961426,48.70246887207031,13/06/2025 23:00,23.639471630199083,19.62999916076661,observed,simulated,True,No data,7.9438667,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.14668912349411498,1293.0385411580403,9.836917082468668,0.01606642361730337,0.0,26.19520575551,NaN,beton,False,Sur un toit,True,True
CHEVREUSE_78_AGG_CP,10,OS,596,596,1.5242067615829569,0,0,0,72.0,2.033780097961426,48.70246887207031,25/06/2025 20:00,31.07095518373182,20.385000228881836,observed,simulated,True,No data,7.9254966,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.545416272911056,1688.110982891793,12.784916559855143,0.018744836561381817,0.0,26.19520575551,NaN,beton,False,Sur un toit,True,True
CHEVREUSE_78_AGG_CP,10,OS,601,601,1.1198591356356573,0,0,0,72.0,2.033780097961426,48.70246887207031,26/06/2025 01:00,18.62139036717947,16.628332773844406,observed,simulated,True,No data,5.722138,1500.0,1817.469970703125,0.0020000000949949026,-999.0,-999.0,0.33877779444467,2600.384595235189,7.744357357422511,0.011200564913451672,0.0,26.19520575551,NaN,beton,False,Sur un toit,True,True
CHEVREUSE_78_AGG_CP,10,SO,585,586,1.9526682431046851,1,0,0,72.0,2.033780097961426,48.70246887207031,25/06/2025 09:00,10.53139216458665,5.393334070841469,simulated,observed,True,No data,0.7952924,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.1985873737929377,655.6023605664572,0.7434348315000534,0.017106950283050537,0.0,26.19520575551,NaN,beton,False,Sur un toit,True,True
PLOUGASTEL-DAOULAS_29_AGG_CP,10,FN,271,271,0.3230115486109474,0,0,0,94.0,-4.373909950256348,48.37514877319336,12/06/2025 07:00,6.837077778931722,21.16666666666667,observed,not simulated,True,No data,3.53076,1000.0,1850.7073974609375,0.0020000000949949026,-999.0,-999.0,0.058130428011776016,382.7181519071261,0.9474255243937174,0.042084693908691406,0.161768691437,36.25305795228,126,beton,False,Sur un toit Sur un mat,True,False
PLOUGASTEL-DAOULAS_29_AGG_CP,10,FN,489,488,0.23914462978022502,-1,0,0,95.0,-4.373909950256348,48.37514877319336,21/06/2025 09:00,2.4631898083715686,10.300000508626312,observed,not simulated,True,No data,0.0,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.041413209025374736,44.751036803304366,0.591059222817421,0.042084693908691406,0.161768691437,36.25305795228,126,beton,False,Sur un toit Sur un mat,True,False
PLOUGASTEL-DAOULAS_29_AGG_CP,10,SO,264,264,1.0220648241648147,0,0,0,97.0,-4.373909950256348,48.37514877319336,12/06/2025 00:00,11.378987595928036,11.13333257039389,simulated,observed,True,No data,1.0476332,2500.0,8800.0,0.007000000216066837,-999.0,-999.0,0.22149122825193643,1016.3871367772421,11.91355593999227,0.042084693908691406,0.161768691437,36.25305795228,126,beton,False,Sur un toit Sur un mat,True,False
SUZE-LA-ROUSSE_26_AGG_CP,10,OS,86,86,1.2394661867180956,0,0,0,89.0,4.837220191955566,44.28805923461914,04/06/2025 14:00,16.119255930036047,13.004998524983733,observed,simulated,True,No data,15.785796,1125.0,8800.0,0.007000000216066837,-999.0,-999.0,0.0897775114078844,600.4756376246612,11.642200390497843,0.005460880696773529,0.0,43.65442249776,110,asphalte,True,Mur Toit en obstacle,True,False
SUZE-LA-ROUSSE_26_AGG_CP,10,OS,547,547,1.2128741873576423,0,0,0,89.0,4.837220191955566,44.28805923461914,23/06/2025 19:00,17.079292667643298,14.081668853759766,observed,simulated,True,No data,0.0,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.1676253797112091,906.5038299560895,14.51324462890625,0.017405157908797264,0.0,43.65442249776,110,asphalte,True,Mur Toit en obstacle,True,False
SUZE-LA-ROUSSE_26_AGG_CP,10,FN,718,719,0.03137158811804911,1,0,0,0.0,4.837220191955566,44.28805923461914,30/06/2025 22:00,0.8636075253358466,27.52833302815756,observed,not simulated,True,No data,0.0,500.0,5000.0,0.007000000216066837,-999.0,-999.0,1.0,0.0,13.648490746816,0.016445801593363285,0.0,43.65442249776,110,asphalte,True,Mur Toit en obstacle,True,False
SUZE-LA-ROUSSE_26_AGG_CP,10,FP,39,38,2.511069525280213,-1,0,0,89.0,4.837220191955566,44.28805923461914,02/06/2025 15:00,11.747616941726324,4.678332010904953,simulated,not observed,True,No data,1.6890167,2250.0,8800.0,0.007000000216066837,-999.0,-999.0,0.21406431810133525,532.5044255654017,6.873858531316121,0.01316631119698286,0.0,43.65442249776,110,asphalte,True,Mur Toit en obstacle,True,False
LES AVENIERES_38_AGG_CP,10,OS,75,75,0.5152202047752509,0,0,0,83.0,5.573770046234131,45.633609771728516,04/06/2025 03:00,6.578503367049571,12.768333435058594,observed,simulated,True,No data,0.9194812,500.0,5000.0,0.007000000216066837,-999.0,-999.0,0.06997016063842235,303.54040618355674,0.7367212126652399,0.0072544163558632135,0.0,49.44313897592,243,brique et asphalte,False,Sur un toit Sur un mat,True,True
LES AVENIERES_38_AGG_CP,10,OS,87,87,0.6395372026858107,0,0,0,83.0,5.573770046234131,45.633609771728516,04/06/2025 15:00,12.627662197145506,19.745000203450516,observed,simulated,True,No data,5.8975687,1125.0,8800.0,0.007000000216066837,-999.0,-999.0,0.1826981963596774,917.7787002747257,4.536728287736575,0.002913271775469184,0.0,49.44313897592,243,brique et asphalte,False,Sur un toit Sur un mat,True,True
LES AVENIERES_38_AGG_CP,10,OS,149,149,1.120764728566942,0,0,0,83.0,5.573770046234131,45.633609771728516,07/06/2025 05:00,18.7242409077637,16.7066650390625,observed,simulated,True,No data,4.1936326,1375.0,8800.0,0.007000000216066837,-999.0,-999.0,0.13606543103202431,1398.0966468403738,0.2356050287683805,0.005277179181575775,0.0,49.44313897592,243,brique et asphalte,False,Sur un toit Sur un mat,True,True
LES AVENIERES_38_AGG_CP,10,OS,158,158,0.5985127545640189,0,0,0,83.0,5.573770046234131,45.633609771728516,07/06/2025 14:00,9.062481234195507,15.141667683919266,observed,simulated,True,No data,4.388674,1750.0,2750.0,0.0020000000949949026,-999.0,-999.0,0.2396919655159837,1093.7537078857422,2.664935328066349,0.00443145795725286,0.0,49.44313897592,243,brique et asphalte,False,Sur un toit Sur un mat,True,True
