Date (j/m/a hh:mm);Simulated gamma dose rate (nSv/h);Observed gamma dose rate (nSv/h);Precipitations (mm/h - acc. prev.);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m);
01/01/2023 00:00;0.3618374950733156;nan;0.03130616393575471;99541.04320276498;306.15084740423384;28.290760723470544;27.26959579319088;22.870209960078107;828.30078125;4511.515625;
01/01/2023 01:00;0.34377139618444313;nan;0.006312444909102356;99537.24022537442;306.71966440227175;28.40502421839446;27.35534245295725;22.914442846527397;719.4905395507812;4378.45166015625;
01/01/2023 02:00;0.333195755574187;nan;0.012488463047342236;99587.43888608871;306.48546758555045;28.10999472346586;27.055314626748576;22.927392882136157;626.0040283203125;4241.12158203125;
01/01/2023 03:00;0.33511893609688886;nan;0.014093360321785105;99602.40558395737;306.2833961451658;27.868400007761018;26.825841658504054;22.901874889426516;716.0628662109375;4419.20361328125;
01/01/2023 04:00;0.33972786480672484;nan;0.01776996387752451;99610.99528369815;306.0819370252196;27.549659231634735;26.617485340096675;22.694756702343987;790.416259765625;4493.63818359375;
01/01/2023 05:00;0.34569885855120036;nan;0.02370539920464639;99630.29320276498;305.9080560921524;27.39654925135973;26.407970800038754;22.434354955699586;870.2294311523438;4496.109375;
01/01/2023 06:00;0.35494058112311283;nan;0.011511210324017392;99654.03836045507;305.7527044621481;27.141515673545925;26.288092024924776;22.07099732496102;957.17919921875;4484.17041015625;
01/01/2023 07:00;0.3587165392682059;nan;0.0138511033779684;99671.12274985599;305.84823882634737;26.875945572101852;26.234279500723982;21.769573803564043;1089.8232421875;4881.5869140625;
01/01/2023 08:00;0.36240357028380515;nan;0.007234113488329171;99668.6584281394;305.6880698489703;26.985192150323897;26.213317205262488;21.488595868585296;1069.400146484375;4977.74658203125;
01/01/2023 09:00;0.3778928715106924;nan;0.04235079192689487;99669.96378168203;305.7216981808711;27.13028650267333;26.219928069722577;21.247726740375644;1100.44140625;5015.255859375;
01/01/2023 10:00;0.4104705428219645;nan;0.058077057700149266;99653.19644657258;306.0023959111508;28.31869299435121;26.247904962663696;21.020213711646296;1002.6791381835938;4892.4775390625;
