Date (j/m/a hh:mm);Simulated gamma dose rate (nSv/h);Observed gamma dose rate (nSv/h);Precipitations (mm/h - acc. prev.);Pressure (Pa);Temperature (K);Kz (m2/s);Meridional wind (m/s);Zonal wind (m/s);Cloud Base (m);Cloud Top (m)
01/06/2025 00:00;1.1771950540275848;;0.041343344173491954;99414.31538955479;294.4077907196463;7.2732515946098655;2.8391474191116415;4.193754195499332;615.9185;3535.355
01/06/2025 01:00;1.3070641900060438;;0.0064907252307998264;99396.18468179223;293.29503781392697;5.2875443289405135;2.8608348893382285;4.0488199232354525;584.37744;3047.492
01/06/2025 02:00;1.075305802147039;;0.04272521217672588;99393.2256706621;292.99654168952003;6.1393005455329535;2.7756106919464423;3.998895030738743;570.8002;2830.901
01/06/2025 03:00;0.9782619432892468;;0.003994820869132264;99386.36565353881;292.7918195332566;7.144827952531919;2.7313776303520725;3.908437816454863;643.38904;2760.3586
01/06/2025 04:00;0.8877740956810032;;0.061708095717375684;99389.23733590182;292.6524237367116;7.310738986859855;2.7530437395027514;3.790141279838945;578.05566;2686.5117
01/06/2025 05:00;0.971411812756512;;0.037981665455077064;99397.03301583904;292.52669605272547;7.227319898602625;2.761215978197341;3.7151947195671466;604.5971;2811.453
01/06/2025 06:00;0.8986844331928439;;0.01949640629668486;99407.17517480023;292.6527619383651;9.692690777724192;2.732383541861702;3.681640384468137;599.10974;2744.8342
01/06/2025 07:00;0.8783241626270707;;0.004402832055813101;99398.2916131564;292.87228470197005;12.161699139806506;2.6938440444470984;3.5067757657953944;523.965;2527.3044
01/06/2025 08:00;0.820095913699933;;0.09750969383916626;99394.36411957763;293.5902983783043;19.7253737678947;2.8392945768409428;3.595925840315277;578.68396;2842.8516
01/06/2025 09:00;0.8208858339743733;;0.003929921937255895;99383.34712114726;294.3681728415293;28.87498585107528;2.9304113443265773;3.7154932152735043;538.34424;2840.2705
01/06/2025 10:00;0.7115413508789521;;0.010753458025588837;99377.70574700342;295.26331897195615;38.385045659256306;3.0612928155784656;3.9066397682364955;604.74634;3182.3816
01/06/2025 11:00;0.6741483762003391;;0.050494372002678374;99366.21990938927;296.13223169056795;46.279390653280636;3.1483533489921864;4.149175158934668;642.09174;3462.8206
01/06/2025 12:00;0.6797205541471323;;0.08566912547493838;99332.13384703196;296.87030649402914;52.43375909491761;3.205587641153161;4.32752693948;699.82947;3561.4478
01/06/2025 13:00;0.9245617014512085;;0.1669505279953485;99311.36290667808;297.3564804286173;57.73150682629652;3.283443872651009;4.662992060150458;651.022;3760.7585
01/06/2025 14:00;1.2760424429116475;;0.26156870878012384;99286.94706050228;297.6255467384373;55.89991420748979;3.2636731925620337;4.911287317026968;727.0406;3804.7852
01/06/2025 15:00;1.1565909997085226;;0.3032567055309064;99272.9651826484;297.61563152156464;51.29267258510062;3.1358334332296294;5.049391974575953;718.6572;3820.7725
01/06/2025 16:00;1.10482727720655;;0.08155499955375581;99265.17538884132;297.5014798238397;44.32276511655006;3.0288077837800325;5.096909914437902;747.592;3910.3247
01/06/2025 17:00;1.0899005169454712;;0.06534040083983259;99255.94133490296;297.2291050741117;36.838790711542785;2.804172254588506;5.151117446760065;766.97504;3934.2197
01/06/2025 18:00;1.2619680375934106;;0.3171128231785409;99269.95556863585;296.72726802738833;25.858820078681866;2.6181563011914935;5.009976255508633;761.51013;4131.8203
01/06/2025 19:00;1.6830142399446573;;0.08766637463122606;99260.24468464612;295.7164528206603;16.210438635693567;2.4530023809981674;4.590229355190035;791.046;3859.714
01/06/2025 20:00;1.9800186039894268;;0.34787372323539806;99302.07289882991;295.00790168378995;10.203225811390572;2.412524027136722;4.311272789824107;901.0487;3735.858
